index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text
0,samsum,1588250.445754046,1.9148778188973665,1.9148778188973665,11.488983674513571,Emilia is still angry.
1,samsum,1588252.360920342,1.5319446711800992,1.5319446711800992,112.92836043924049,"Mico wants to go to the village party to meet some local boys, but Lia is too tired after hiking. Mico and Jeff will go together, with Mico possibly driving so he can drink."
2,samsum,1588253.893303833,1.9596435250714421,1.9596435250714421,52.05028296984852,Michael can't make it today because he has to stay at the office until 8pm and will call Tom tomorrow.
3,samsum,1588255.853256914,2.279661709908396,2.279661709908396,98.2601931797157,"Autumn has sewn a dress and is excited to show it to Israel, who hasn't had time to sew anything yet. Autumn teases Israel about not having priorities in life, comparing herself to Israel who hasn't checked tests in a month."
4,samsum,1588258.1332203,2.4234407958574593,2.4234407958574593,103.15911179977692,"Brenda and Sandra, former coworkers from the clothes factory, reconnect after 25 years and reminisce about their past, including their time at the factory, their husbands, and their shared love of dancing. They discuss their lives, including Sandra's"
5,samsum,1588260.556957173,2.8706917229574174,2.8706917229574174,78.02997382429932,"Leah sent Kristi a link to get a 20% discount coupon for an online shop, which includes trainers Kristi needs. In return, Kristi will put Leah's ID on the reference code, allowing Leah to accumulate money for future shopping"
6,samsum,1588263.427951104,3.134910349966958,3.134910349966958,83.255969346221,"Lisa and Peter discuss their health and fitness goals. Peter has been working out to improve his health, doing weights and running on the treadmill at the gym near their office. Lisa is also considering working out and eating better to stay in shape. They agree"
7,samsum,1588266.56317694,2.7063782811164856,2.7063782811164856,62.07557944586132,"Petra is extremely sleepy and wants to sleep, while Andy thinks the office is boring because nobody is working. Ezgi is working, but Petra is jokingly calling her lazy."
8,samsum,1588269.269848417,2.6223749180790037,2.6223749180790037,86.1814222069948,"People are photoshopping Timothée Chalamet into artworks, which is hilarious, and Dominic thinks he looks like a typical young man from a 19th-century portrait, fitting the image of someone who reads Rimbaud's poems and drinks"
9,samsum,1588271.892511141,1.7732803099788725,1.7732803099788725,111.09354730406223,"Adele got a new 4-month-old puppy, a pup biscuit lab named Chewy, and the other pets are adjusting to him, with the cats keeping their distance and the other dogs mothering him and wanting to play."
10,samsum,1588273.666106358,2.218566026072949,2.218566026072949,76.6260719771836,"Cara wanted to visit Celine, but Celine is not at home. Celine offered to drop by in the evening if Cara doesn't mind, and Cara agreed to call her if she decides to come."
11,samsum,1588275.8849595,1.907652024878189,1.907652024878189,72.86444183072418,"Janice has watched almost all of the Top 50 Best Films of 2018, including Deadpool 2 and Avengers, which her boyfriend forced her to watch."
